Date,AveragePrice,"Total Volume",4046,4225,4770,"Total Bags","Small Bags","Large Bags","XLarge Bags",type,year,region,Date_new,id,avg_price
2015-10-25,1.36,99554.55,1545.57,36645.91,79.64,61283.43,59381.21,1902.22,0,conventional,2015,BuffaloRochester,2015-10-25,1,1.34
2015-12-27,1.33,64236.62,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0,conventional,2015,Albany,2015-12-27,2,1.63
2015-12-06,0.71,95295.34,35590.98,12526.5,4086.26,43091.6,42734.53,0,357.07,conventional,2015,Boise,2015-12-06,3,1.27
2015-12-27,1.13,450816.39,3886.27,346964.7,13952.56,86012.86,85913.6,99.26,0,conventional,2015,Boston,2015-12-27,122,1.60
2015-12-27,0.99,386100.49,292097.36,27350.92,297.9,66354.31,48605.95,17748.36,0,conventional,2015,Atlanta,2015-12-27,160,1.22
2015-10-18,1.26,156565.98,22805.02,54518.85,44707.32,34534.79,31176.68,3358.11,0,conventional,2015,Charlotte,2015-10-18,171,1.51
2015-12-27,0.9,5040365.47,1833946.59,1760956.02,232755.85,1212707.01,1090140.07,110737.35,11829.59,conventional,2015,California,2015-12-27,178,1.30
2015-12-27,0.93,661137.13,42799,445218.79,78378.25,94741.09,83066.75,1617.67,10056.67,conventional,2015,Chicago,2015-12-27,298,1.32
2015-09-20,1.05,210445.12,3127.8,139042.8,21179.76,47094.76,12353.22,29601.09,5140.45,conventional,2015,CincinnatiDayton,2015-09-20,299,1.32
2015-09-06,0.84,1270739.69,626166.71,505568.94,9815.66,129188.38,120588.01,8581.65,18.72,conventional,2015,DallasFtWorth,2015-09-06,347,1.12
2015-12-27,0.99,107565.04,41808.54,27120.67,15564.05,23071.78,15032.43,3874.64,4164.71,conventional,2015,Columbus,2015-12-27,380,1.20
2015-12-27,0.98,625475.1,93034.2,246747.13,19103.69,266590.08,38620.02,227884.21,85.85,conventional,2015,Denver,2015-12-27,436,1.21
2015-08-09,1.07,341289.98,136799.68,56896.42,80145.92,67447.96,54938.34,1471.57,11038.05,conventional,2015,Detroit,2015-08-09,551,1.21
2015-07-19,1.12,3436864.41,449090.82,1843047.36,454643.18,690083.05,535843.25,110898.39,43341.41,conventional,2015,GreatLakes,2015-07-19,579,1.30
2015-12-27,1.13,147713.85,2992.62,101109.84,5754.75,37856.64,30738.09,2919.24,4199.31,conventional,2015,GrandRapids,2015-12-27,641,1.46
2015-12-27,1.16,173645.55,22694.58,98629.2,149.11,52172.66,51396.6,776.06,0,conventional,2015,HarrisburgScranton,2015-12-27,655,1.39
2015-07-26,1.3,266049.58,3579.93,205203.65,2171.08,55094.92,52815.8,2279.12,0,conventional,2015,HartfordSpringfield,2015-07-26,688,1.89
2015-12-27,0.78,944506.54,389773.22,288003.62,126150.81,140578.89,73711.94,36493.62,30373.33,conventional,2015,Houston,2015-12-27,799,0.98
2015-07-12,1.05,161431.59,4181.35,101947.17,7053.06,48250.01,27061.56,20240.11,948.34,conventional,2015,Indianapolis,2015-07-12,837,1.28
2015-06-28,1.01,293408.89,138921.52,86492.67,4334.64,63660.06,52651.46,11008.6,0,conventional,2015,LasVegas,2015-06-28,876,1.33
2015-12-27,0.99,132982.84,91470.46,7688.79,514.7,33308.89,15300.85,18008.04,0,conventional,2015,Jacksonville,2015-12-27,925,1.42
2015-12-27,0.8,2326942.14,976982.58,455203.42,86202.11,808554.03,722787.61,74359.03,11407.39,conventional,2015,LosAngeles,2015-12-27,931,1.20
2015-06-07,1.01,98865.51,8145.6,62401.26,4540.35,23778.3,12423.77,10432.41,922.12,conventional,2015,Louisville,2015-06-07,1052,1.12
2015-12-27,0.99,545064.74,387953.32,44652.25,54.44,112404.73,53606.13,58798.6,0,conventional,2015,MiamiFtLauderdale,2015-12-27,1105,1.28
2015-05-31,1.14,3039403.06,734816.3,1377202.12,207708.91,719675.73,661787.82,56794.41,1093.5,conventional,2015,Midsouth,2015-05-31,1170,1.33
2015-05-17,0.96,257403.43,172610.15,9661.21,262,74870.07,69919.72,4950.35,0,conventional,2015,NewOrleansMobile,2015-05-17,1176,1.30
2015-12-27,0.96,123669.89,79508.7,8706.29,4748.08,30706.82,23563.06,7140.43,3.33,conventional,2015,Nashville,2015-12-27,1216,1.25
2015-12-27,1.17,596819.4,40450.49,394104.02,17353.79,144911.1,142543.88,2367.22,0,conventional,2015,BaltimoreWashington,2015-12-27,1337,1.40
2015-04-19,1.31,3786141.18,110954.74,2552885.19,6389.9,1115911.35,984678.78,131232.57,0,conventional,2015,Northeast,2015-04-19,1368,1.56
2015-12-27,1.21,304598.42,2601.32,250270.9,12123.24,39602.96,39602.96,0,0,conventional,2015,NorthernNewEngland,2015-12-27,1395,1.51
2015-12-27,0.99,305773.54,211102.9,20765.29,124.04,73781.31,40641.55,33139.76,0,conventional,2015,Orlando,2015-12-27,1473,1.41
2015-12-27,1.17,1129876.05,13711.19,872603.6,894.58,242666.68,208470.99,34191.25,4.44,conventional,2015,NewYork,2015-12-27,1501,1.62
2015-12-27,1.25,308546.88,9778.07,208945.03,530.89,89292.89,82776.35,6513.36,3.18,conventional,2015,Philadelphia,2015-12-27,1526,1.54
2015-03-29,0.57,1231267.27,998057.91,157108.31,8638.85,67462.2,43759.93,23702.27,0,conventional,2015,PhoenixTucson,2015-03-29,1577,1.26
2015-12-27,1.25,73109.9,1241.48,45856.11,951.32,25060.99,17512.17,7392.15,156.67,conventional,2015,Pittsburgh,2015-12-27,1612,1.32
2015-12-27,1.1,1306923.23,571602.6,404837.9,25188.57,305294.16,279127.08,24838.63,1328.45,conventional,2015,Plains,2015-12-27,1707,1.37
2015-12-27,1.01,417190.47,87748.64,131201.91,16182.87,182057.05,181763.3,44.65,249.1,conventional,2015,Portland,2015-12-27,1800,1.46
2015-02-15,1.21,230632.14,66005.8,55126.76,48502.71,60996.87,49618.45,11378.42,0,conventional,2015,RaleighGreensboro,2015-02-15,1847,1.51
2015-12-27,0.98,161577.6,46837.66,67974.89,5986.26,40778.79,40770.1,3.44,5.25,conventional,2015,RichmondNorfolk,2015-12-27,1865,1.34
2015-02-01,1,168217.72,71867.81,65784.29,93.81,30471.81,27117.84,3353.97,0,conventional,2015,Roanoke,2015-02-01,1873,1.16
2015-12-27,0.98,403741.62,98482.89,249362.94,13805.3,42090.49,42084.71,5.78,0,conventional,2015,Sacramento,2015-12-27,1912,1.54
2015-01-04,0.94,461607.33,244152.26,165299.33,15302.75,36852.99,30884.29,5595,373.7,conventional,2015,SanDiego,2015-01-04,2057,1.36
2015-12-27,1.05,692206.4,181704.67,422617.8,28184.73,59699.2,59094.49,582.9,21.81,conventional,2015,SanFrancisco,2015-12-27,2060,1.58
2015-12-13,0.96,257166.53,148691.81,47393.23,7391.81,53689.68,43815.6,9863.71,10.37,conventional,2015,SouthCarolina,2015-12-13,2162,1.39
2015-12-27,1.09,450185.94,101442.85,178459.6,7000.66,163282.83,162930.64,26.71,325.48,conventional,2015,Seattle,2015-12-27,2211,1.23
2015-12-27,0.81,4831664.77,2295315.43,1290847.05,392846.12,852656.17,663310,105317.59,84028.58,conventional,2015,SouthCentral,2015-12-27,2305,1.08
2015-12-06,1.13,2205550.58,1520190.48,248205.38,15672.86,421481.86,275520.16,145934.58,27.12,conventional,2015,Southeast,2015-12-06,2334,1.35
2015-11-01,1.21,152077.32,49010.65,34559.26,43.44,68463.97,64373.15,4084.11,6.71,conventional,2015,StLouis,2015-11-01,2353,1.24
2015-09-27,1.13,252128.43,99077.59,70565.14,99.97,82385.73,42717.37,39668.36,0,conventional,2015,Tampa,2015-09-27,2419,1.32
2015-12-27,1.05,67099.38,20577.16,21592.44,2889.97,22039.81,21900.09,0,139.72,conventional,2015,Spokane,2015-12-27,2491,1.24
2015-08-16,0.98,5718139.41,2640927.73,2027603.38,123334.73,926273.57,685992.88,240262.17,18.52,conventional,2015,West,2015-08-16,2526,1.28
2015-12-27,1.36,42344.22,828.65,23560.51,14.41,17940.65,17940.65,0,0,conventional,2015,Syracuse,2015-12-27,2537,1.36
2015-12-27,0.95,27297983.67,9626901.09,10197890.05,1184340.09,6288852.44,4850404.09,1252626.31,185822.04,conventional,2015,TotalUS,2015-12-27,2568,1.26
2015-12-27,0.71,776404.39,451904.51,141599.36,15486.97,167413.55,123158.22,33065.33,11190,conventional,2015,WestTexNewMexico,2015-12-27,2644,1.17
2016-07-24,1.46,98321.14,11580.64,65195.63,13.73,21531.14,18639.29,241.85,2650,conventional,2016,Albany,2016-07-24,2738,1.63
2016-12-25,0.91,502787.29,205855.78,86015.43,184.62,210731.46,118884.36,91847.1,0,conventional,2016,Atlanta,2016-12-25,2811,1.22
2016-07-03,1.38,844337.61,63050.59,501970.38,50114.65,229201.99,214851.77,2969.08,11381.14,conventional,2016,BaltimoreWashington,2016-07-03,2844,1.40
2016-06-05,1.26,634989.55,8833.67,417995.15,51385.74,156774.99,155072.41,120.91,1581.67,conventional,2016,Boston,2016-06-05,2868,1.60
2016-05-22,0.9,6501981.08,2238875.14,2178820.82,329737.94,1754547.18,1594507.01,129666.02,30374.15,conventional,2016,California,2016-05-22,2915,1.30
2016-12-25,1.03,71168.92,27464.22,2892.64,6681.19,34130.87,33449.4,662.22,19.25,conventional,2016,Boise,2016-12-25,2936,1.27
2016-12-25,1.41,103035.45,1197.33,64434.59,42.09,37361.44,35701.24,1660.2,0,conventional,2016,BuffaloRochester,2016-12-25,2948,1.34
2016-12-25,1.25,155793.03,36125.58,50792.48,7324.64,61550.33,51247.91,10232.98,69.44,conventional,2016,Charlotte,2016-12-25,2995,1.51
2016-12-25,1.22,616653.72,67145.99,352087.3,110167.01,87253.42,81570.81,955.34,4727.27,conventional,2016,Chicago,2016-12-25,3159,1.32
2016-12-25,0.82,276387.95,2168.67,102227.29,970.48,171021.51,26984.7,144036.81,0,conventional,2016,CincinnatiDayton,2016-12-25,3243,1.32
2016-04-10,0.96,135905.09,57345.34,27302.54,9075.23,42181.98,31689.31,9453.96,1038.71,conventional,2016,Columbus,2016-04-10,3287,1.20
2016-03-20,0.73,1005859.79,138938.88,360370.27,10950.53,495600.11,46784.27,448815.84,0,conventional,2016,Denver,2016-03-20,3315,1.21
2016-02-21,1.16,142681.62,3581.34,93603.59,4067.71,41428.98,36166.24,5150.74,112,conventional,2016,GrandRapids,2016-02-21,3325,1.46
2016-12-25,0.76,1199636.75,503168.52,313572.54,3069.14,379826.55,374905.48,2661.1,2259.97,conventional,2016,DallasFtWorth,2016-12-25,3338,1.12
2016-12-25,1.11,2954314.99,446144.28,1256639.93,146507.02,1105023.76,789983.43,306951.98,8088.35,conventional,2016,GreatLakes,2016-12-25,3346,1.30
2016-12-25,1.06,319957.45,89825,59758.69,7121.96,163251.8,161040.94,2191.64,19.22,conventional,2016,Detroit,2016-12-25,3347,1.21
2016-12-25,1.45,186180,28999.77,97383.52,1529.57,58267.14,55674.38,2560.92,31.84,conventional,2016,HarrisburgScranton,2016-12-25,3470,1.39
2016-02-14,0.67,1191352.2,518192.1,334137.36,210029.3,128993.44,67726.6,55041.28,6225.56,conventional,2016,Houston,2016-02-14,3625,0.98
2016-12-25,1.49,238100.22,2977.57,178949.08,7914.45,48259.12,47076.21,865.63,317.28,conventional,2016,HartfordSpringfield,2016-12-25,3633,1.89
2016-12-25,1.13,135848.61,9560.82,59100.87,1962.89,65224.03,39632.2,25547.03,44.8,conventional,2016,Indianapolis,2016-12-25,3641,1.28
2016-01-31,1.04,151247.03,76816.44,21968.91,256.1,52205.58,21691.82,30513.76,0,conventional,2016,Jacksonville,2016-01-31,3769,1.42
2016-12-25,0.82,292038.68,107317.8,43301.69,7606.75,133812.44,54017.79,79794.65,0,conventional,2016,LasVegas,2016-12-25,3774,1.33
2016-12-25,0.84,2641775.31,794840.17,669585.49,65359.34,1111990.31,1032762.48,49937.35,29290.48,conventional,2016,LosAngeles,2016-12-25,3826,1.20
2016-12-25,1.01,81833.86,1337.84,35234.67,179.74,45081.61,16333.36,28748.25,0,conventional,2016,Louisville,2016-12-25,3910,1.12
2016-12-25,1.23,2180512.1,461611.36,873785.28,33980.02,811135.44,680183.89,126818.99,4132.56,conventional,2016,Midsouth,2016-12-25,3949,1.33
2016-11-27,1.38,148538.06,76603.69,17900.83,50,53983.54,40901.98,12685.45,396.11,conventional,2016,NewOrleansMobile,2016-11-27,3972,1.30
2016-12-25,0.97,648358.72,257456.07,148591.65,827.53,241483.47,87168.19,154236.11,79.17,conventional,2016,MiamiFtLauderdale,2016-12-25,4053,1.28
2016-12-25,0.93,166486.05,63236.61,18070.01,66.44,85112.99,67429.01,16683.98,1000,conventional,2016,Nashville,2016-12-25,4063,1.25
2016-12-25,1.36,1087984.9,11329.85,713042.43,84414.47,279198.15,241335.64,36654.59,1207.92,conventional,2016,NewYork,2016-12-25,4078,1.62
2016-11-13,1.67,2706838.44,126870.22,1797497.36,14009.38,768461.48,716107.95,52343.53,10,conventional,2016,Northeast,2016-11-13,4217,1.56
2016-11-06,1.47,236696.6,93321.05,53545.04,149.05,89681.46,34250.33,55431.13,0,conventional,2016,Orlando,2016-11-06,4239,1.41
2016-10-16,1.03,831120.57,273642.18,223809.9,13628.24,320040.25,147692.04,171739.88,608.33,conventional,2016,PhoenixTucson,2016-10-16,4271,1.26
2016-12-25,1.24,325634.21,12140.61,257987.85,2878.28,52627.47,52623.03,4.44,0,conventional,2016,NorthernNewEngland,2016-12-25,4326,1.51
2016-12-25,1.43,329493.55,11217.72,202764.73,18780.24,96730.86,91017.48,5380.08,333.3,conventional,2016,Philadelphia,2016-12-25,4364,1.54
2016-12-25,1.26,80688.76,21519.08,23868.08,961.58,34340.02,30455.29,3884.73,0,conventional,2016,Pittsburgh,2016-12-25,4399,1.32
2016-09-25,1.35,1419113.4,673110.96,360990.42,5573.18,379438.84,333274.27,39397.54,6767.03,conventional,2016,Plains,2016-09-25,4518,1.37
2016-08-28,1.29,281758.14,88767.63,100303.08,13156.44,79530.99,77895.51,434.09,1201.39,conventional,2016,RaleighGreensboro,2016-08-28,4558,1.51
2016-08-28,1.03,155029.38,48406.18,43349.65,108.8,63164.75,59304.96,1999.79,1860,conventional,2016,Roanoke,2016-08-28,4611,1.16
2016-12-25,0.94,525930.72,104032.21,135602.68,13342.22,272953.61,272606.5,44.46,302.65,conventional,2016,Portland,2016-12-25,4612,1.46
2016-12-25,1.2,176103.25,57197.5,58578.91,2184.2,58142.64,57397.06,745.58,0,conventional,2016,RichmondNorfolk,2016-12-25,4665,1.34
2016-12-25,1.07,428247.63,119611.9,263467.16,811.18,44357.39,39136.56,2868.61,2352.22,conventional,2016,Sacramento,2016-12-25,4717,1.54
2016-07-31,1.16,522678.71,156893.23,167605.98,18152.4,180027.1,156662.69,23324.41,40,conventional,2016,SanDiego,2016-07-31,4791,1.36
2016-12-25,1.18,690027.33,164595.96,462872.97,2525.58,60032.82,52277.99,7459.83,295,conventional,2016,SanFrancisco,2016-12-25,4822,1.58
2016-12-25,1.17,475143.56,64749.6,143841.64,205.26,266347.06,265938.42,156.02,252.62,conventional,2016,Seattle,2016-12-25,4874,1.23
2016-12-25,1.02,308342.51,121219.4,62511.84,2501.78,122109.49,72546.57,49562.92,0,conventional,2016,SouthCarolina,2016-12-25,4926,1.39
2016-06-26,0.89,6046264.46,3148031.62,995499.7,425639.83,1477093.31,1226901.91,190503.41,59687.99,conventional,2016,SouthCentral,2016-06-26,5033,1.08
2016-05-29,0.87,109604.3,29399.27,21853.06,3012.5,55339.47,55214.3,110.28,14.89,conventional,2016,Spokane,2016-05-29,5067,1.24
2016-12-25,0.94,3722102.33,1449893.5,760830.39,5643.49,1505734.95,736767.31,767155.7,1811.94,conventional,2016,Southeast,2016-12-25,5080,1.35
2016-12-25,1.02,132034.47,58510.89,9135.28,60.38,64327.92,47503.95,16823.97,0,conventional,2016,StLouis,2016-12-25,5103,1.24
2016-04-24,1.22,68819,1000.49,39959.75,586.42,27272.34,27268.73,3.61,0,conventional,2016,Syracuse,2016-04-24,5224,1.36
2016-12-25,0.93,445441.47,157380.83,104316.6,63.53,183680.51,87877.06,95803.45,0,conventional,2016,Tampa,2016-12-25,5258,1.32
2016-03-13,0.93,36374516.14,11661687.44,13104887.66,1800065.57,9807875.47,7231162.6,2521123.87,55589,conventional,2016,TotalUS,2016-03-13,5313,1.26
2016-12-25,0.92,5720079.58,1951252.95,1240717.89,114035,2414073.74,1681100.98,731388.25,1584.51,conventional,2016,West,2016-12-25,5336,1.28
2016-02-14,0.7,963046.73,621734.73,151510.22,30289.17,159512.61,89653.91,56745.36,13113.34,conventional,2016,WestTexNewMexico,2016-02-14,5433,1.17
2017-12-31,1.47,113514.42,2622.7,101135.53,20.25,9735.94,5556.98,4178.96,0,conventional,2017,Albany,2017-12-31,5447,1.63
2017-01-22,0.84,755472.09,320378,135920.57,179.13,298994.39,177899.15,121095.24,0,conventional,2017,Atlanta,2017-01-22,5566,1.22
2017-12-31,1.15,849487.62,66628.66,519460.2,4920.46,258478.3,245665.84,12812.46,0,conventional,2017,BaltimoreWashington,2017-12-31,5578,1.40
2017-12-31,1.13,79646.97,38196.44,1706.22,6263,33481.31,28764.84,4676.67,39.8,conventional,2017,Boise,2017-12-31,5764,1.27
2017-01-15,1.29,168230.55,2011.96,68322.14,53.84,97842.61,96319.5,1523.11,0,conventional,2017,BuffaloRochester,2017-01-15,5788,1.34
2017-12-31,0.93,7132711.23,2280934.17,3201737.11,111845.09,1538194.86,1461095.1,20553.6,56546.16,conventional,2017,California,2017-12-31,5797,1.30
2017-12-31,1.4,419696.59,9622.52,325398.02,2061.91,82614.14,65868.23,16745.91,0,conventional,2017,Boston,2017-12-31,5798,1.60
2017-01-08,1.28,219338.92,56739.54,80201.7,10231.86,72165.82,63539.28,8626.54,0,conventional,2017,Charlotte,2017-01-08,5800,1.51
2017-12-31,0.93,1182647.5,144034.24,845964.7,120869.17,71779.39,63314.15,8409.9,55.34,conventional,2017,Chicago,2017-12-31,5828,1.32
2017-01-08,0.82,285027.21,4147.01,126967.13,991.09,152921.98,33746.17,118612.86,562.95,conventional,2017,CincinnatiDayton,2017-01-08,5907,1.32
2017-12-31,0.8,221203.78,103506.03,30763.37,5224.82,81709.56,68828.14,12796.92,84.5,conventional,2017,Columbus,2017-12-31,5912,1.20
2017-12-31,0.9,1116393.2,481105.48,307423.18,4818.24,323046.3,161254.88,161616.45,174.97,conventional,2017,DallasFtWorth,2017-12-31,6162,1.12
2017-12-31,0.94,938481.85,127052.75,355322.2,8950.91,447155.99,62602.48,384553.51,0,conventional,2017,Denver,2017-12-31,6194,1.21
2017-12-10,1.61,107018.62,2211.54,52467.15,17501.9,34838.03,25029.12,5916.44,3892.47,conventional,2017,GrandRapids,2017-12-10,6212,1.46
2017-12-03,1.27,231977,39382,127730,91,64773,57036,7738,0,conventional,2017,HarrisburgScranton,2017-12-03,6275,1.39
2017-01-01,1.64,232663.88,2772.36,188107.91,2695.77,39087.84,38034.62,919.42,133.8,conventional,2017,HartfordSpringfield,2017-01-01,6355,1.89
2017-12-31,0.78,1391181.63,564063.25,209000.62,4194.25,613923.51,527743.84,86179.67,0,conventional,2017,Houston,2017-12-31,6359,0.98
2017-12-31,0.92,4398887.92,1092011.22,1740608.6,364049.45,1202218.65,927628.08,231172.74,43417.83,conventional,2017,GreatLakes,2017-12-31,6407,1.30
2017-12-31,0.84,467584.3,146333.69,91027.9,25276.56,204946.15,161600.45,41058.72,2286.98,conventional,2017,Detroit,2017-12-31,6409,1.21
2017-12-31,0.96,205202.95,67904.72,57394.76,13768.33,66135.14,59516.58,6575.66,42.9,conventional,2017,Indianapolis,2017-12-31,6581,1.28
2017-12-31,1.12,206562.78,115793.69,14230.19,277.37,76261.53,29166.63,46858.23,236.67,conventional,2017,Jacksonville,2017-12-31,6615,1.42
2017-12-24,1.1,2389829.32,1076720.74,350754.59,78272.26,884081.73,831557.36,15344.42,37179.95,conventional,2017,LosAngeles,2017-12-24,6647,1.20
2017-12-17,1.01,660737.83,449484.96,63179.34,5749.55,142323.98,69456.09,72867.89,0,conventional,2017,MiamiFtLauderdale,2017-12-17,6688,1.28
2017-12-31,1.04,291922.57,57663.71,111439.26,6018.29,116801.31,49190.85,67480.46,130,conventional,2017,LasVegas,2017-12-31,6802,1.33
